family,n_sites,instance_id,graph_seed,realization,disorder_seed,disorder_strength_over_coupling,target_style,initial_site,trap_site,dephasing_over_coupling,arrival,sink_hitting_time_filled,loss_population,network_population,mean_coherence_l1,final_entropy,participation_ratio,max_trace_deviation,max_population_closure_error,min_state_eigenvalue,topology_n_sites,topology_n_edges,topology_density,topology_mean_degree,topology_std_degree,topology_initial_degree,topology_target_degree,topology_target_betweenness,topology_target_closeness,topology_initial_target_distance,topology_modularity_approx,topology_spectral_radius,topology_spectral_gap,topology_spectral_degeneracy_approx,topology_spectral_initial_target_overlap,topology_target_mode_weight_ipr,zero_dephasing_arrival,dephasing_gain
modular_two_community,8,modular_two_community_N8_r1_s88541_edge-unweighted,88541,1,5,0.8,low_centrality,7,1,0.2,0.31459456514721573,2.7848101265822787,0.1507790373132405,0.5346263975395447,2.0817143499264423,1.8972359107164067,7.522605956247016,1.1102230246251565e-15,1.1102230246251565e-15,0.0,8.0,9.0,0.32142857142857145,2.25,0.82915619758885,3.0,1.0,0.0,0.28,3.0,0.2901234567901234,2.723071494031463,0.737546503658344,0.0,0.6777158905416809,0.2074257342488631,0.27907237328446155,0.03552219186275418
modular_two_community,10,modular_two_community_N10_r0_s108464_edge-unweighted,108464,0,3,0.0,near,9,5,1.4,0.3485974189131178,2.405063291139241,0.1450515284435814,0.5063510526432998,0.6463648646500774,2.2889581668272463,9.857745060969492,1.2212453270876722e-15,1.3322676295501878e-15,0.0,10.0,20.0,0.4444444444444444,4.0,0.7745966692414834,3.0,5.0,0.2175925925925926,0.6428571428571429,1.0,0.4,4.146095868563208,0.7833016444253658,3.0,0.3613001778805264,0.30033212721249486,0.1344055017623662,0.2141919171507516
modular_two_community,10,modular_two_community_N10_r0_s108464_edge-unweighted,108464,0,5,0.0,near,9,5,1.4,0.3485974189131178,2.405063291139241,0.1450515284435814,0.5063510526432998,0.6463648646500774,2.2889581668272463,9.857745060969492,1.2212453270876722e-15,1.3322676295501878e-15,0.0,10.0,20.0,0.4444444444444444,4.0,0.7745966692414834,3.0,5.0,0.2175925925925926,0.6428571428571429,1.0,0.4,4.146095868563208,0.7833016444253658,3.0,0.3613001778805264,0.30033212721249486,0.1344055017623662,0.2141919171507516
modular_two_community,10,modular_two_community_N10_r0_s108464_edge-unweighted,108464,0,3,0.4,near,9,5,1.4,0.3470009219073186,2.5316455696202533,0.14538349265755596,0.5076155854351244,0.6541470571926647,2.2890714140263095,9.858662060845978,1.2212453270876722e-15,1.2212453270876722e-15,0.0,10.0,20.0,0.4444444444444444,4.0,0.7745966692414834,3.0,5.0,0.2175925925925926,0.6428571428571429,1.0,0.4,4.146095868563208,0.7833016444253658,3.0,0.3613001778805264,0.30033212721249486,0.13155073917840104,0.21545018272891758
modular_two_community,10,modular_two_community_N10_r0_s108464_edge-unweighted,108464,0,5,0.4,near,9,5,1.4,0.3473308132376085,2.5316455696202533,0.14540649103419975,0.507262695728191,0.6549918754173177,2.2890866768414813,9.859071203222044,8.881784197001252e-16,8.881784197001252e-16,0.0,10.0,20.0,0.4444444444444444,4.0,0.7745966692414834,3.0,5.0,0.2175925925925926,0.6428571428571429,1.0,0.4,4.146095868563208,0.7833016444253658,3.0,0.3613001778805264,0.30033212721249486,0.138499848387689,0.2088309648499195
modular_two_community,10,modular_two_community_N10_r0_s108464_edge-unweighted,108464,0,3,0.8,near,9,5,1.4,0.352727796972394,2.405063291139241,0.14438884188054632,0.5028833611470598,0.6507346139602618,2.2894229994815944,9.865967389786412,3.3306690738754696e-16,3.3306690738754696e-16,0.0,10.0,20.0,0.4444444444444444,4.0,0.7745966692414834,3.0,5.0,0.2175925925925926,0.6428571428571429,1.0,0.4,4.146095868563208,0.7833016444253658,3.0,0.3613001778805264,0.30033212721249486,0.18104193356434842,0.17168586340804556
modular_two_community,10,modular_two_community_N10_r0_s108464_edge-unweighted,108464,0,5,0.8,near,9,5,1.4,0.3472096924640993,2.5316455696202533,0.1453465655530969,0.5074437419828028,0.6573301603653201,2.2893893094640494,9.863993001645662,1.1102230246251565e-15,1.2212453270876722e-15,0.0,10.0,20.0,0.4444444444444444,4.0,0.7745966692414834,3.0,5.0,0.2175925925925926,0.6428571428571429,1.0,0.4,4.146095868563208,0.7833016444253658,3.0,0.3613001778805264,0.30033212721249486,0.13378001604409862,0.21342967642000066
modular_two_community,10,modular_two_community_N10_r0_s108464_edge-unweighted,108464,0,3,0.0,far,9,3,0.8,0.2578308932766294,4.556962025316456,0.15935705176187578,0.5828120549614942,1.026786617192275,2.2619319326890723,9.51624864443541,6.661338147750939e-16,5.551115123125783e-16,0.0,10.0,20.0,0.4444444444444444,4.0,0.7745966692414834,3.0,3.0,0.0,0.391304347826087,4.0,0.4,4.146095868563208,0.7833016444253658,3.0,0.48827169996456515,0.18596875546848946,0.1867644482039645,0.07106644507266488
modular_two_community,10,modular_two_community_N10_r0_s108464_edge-unweighted,108464,0,5,0.0,far,9,3,0.8,0.2578308932766294,4.556962025316456,0.15935705176187578,0.5828120549614942,1.026786617192275,2.2619319326890723,9.51624864443541,6.661338147750939e-16,5.551115123125783e-16,0.0,10.0,20.0,0.4444444444444444,4.0,0.7745966692414834,3.0,3.0,0.0,0.391304347826087,4.0,0.4,4.146095868563208,0.7833016444253658,3.0,0.48827169996456515,0.18596875546848946,0.1867644482039645,0.07106644507266488
modular_two_community,10,modular_two_community_N10_r0_s108464_edge-unweighted,108464,0,3,0.4,far,9,3,0.8,0.26444228215321847,4.556962025316456,0.1587721314502094,0.576785586396574,1.0294764455573167,2.2622491085629863,9.515503571808685,1.7763568394002505e-15,1.9984014443252818e-15,0.0,10.0,20.0,0.4444444444444444,4.0,0.7745966692414834,3.0,3.0,0.0,0.391304347826087,4.0,0.4,4.146095868563208,0.7833016444253658,3.0,0.48827169996456515,0.18596875546848946,0.22723489838402985,0.03720738376918861
