campaign,profile,family,family_class,n_sites,realization,target_styles_requested,unique_targets_used,disorder_values,disorder_seeds,gamma_values,time_samples,records,quantum_simulations,classical_simulations,estimated_cost_units,edge_count,density,mean_degree,max_degree,unique_candidate_targets,duplicate_target_styles,edge_models
dynamic_network_atlas,strong,watts_strogatz_small_world,random_graph,8,4,4,2,5,16,8,180,160,1280,160,1316571428.5714285,16.0,0.5714285714285714,4.0,5.0,2.0,2.0,
dynamic_network_atlas,strong,watts_strogatz_small_world,random_graph,8,5,4,3,5,16,8,180,240,1920,240,1974857142.8571427,16.0,0.5714285714285714,4.0,5.0,3.0,1.0,
dynamic_network_atlas,strong,watts_strogatz_small_world,random_graph,8,6,4,4,5,16,8,180,320,2560,320,2633142857.142857,16.0,0.5714285714285714,4.0,5.0,4.0,0.0,
dynamic_network_atlas,strong,watts_strogatz_small_world,random_graph,8,7,4,4,5,16,8,180,320,2560,320,2633142857.142857,16.0,0.5714285714285714,4.0,7.0,4.0,0.0,
dynamic_network_atlas,strong,watts_strogatz_small_world,random_graph,8,8,4,4,5,16,8,180,320,2560,320,2633142857.142857,16.0,0.5714285714285714,4.0,5.0,4.0,0.0,
dynamic_network_atlas,strong,watts_strogatz_small_world,random_graph,8,9,4,2,5,16,8,180,160,1280,160,1316571428.5714285,16.0,0.5714285714285714,4.0,5.0,2.0,2.0,
dynamic_network_atlas,strong,watts_strogatz_small_world,random_graph,8,10,4,3,5,16,8,180,240,1920,240,1974857142.8571427,16.0,0.5714285714285714,4.0,6.0,3.0,1.0,
dynamic_network_atlas,strong,watts_strogatz_small_world,random_graph,8,11,4,3,5,16,8,180,240,1920,240,1974857142.8571427,16.0,0.5714285714285714,4.0,5.0,3.0,1.0,
dynamic_network_atlas,strong,watts_strogatz_small_world,random_graph,10,0,4,4,5,16,8,180,320,2560,320,4246732800.0,20.0,0.4444444444444444,4.0,5.0,4.0,0.0,
dynamic_network_atlas,strong,watts_strogatz_small_world,random_graph,10,1,4,3,5,16,8,180,240,1920,240,3185049600.0,20.0,0.4444444444444444,4.0,5.0,3.0,1.0,
dynamic_network_atlas,strong,watts_strogatz_small_world,random_graph,10,2,4,4,5,16,8,180,320,2560,320,4246732800.0,20.0,0.4444444444444444,4.0,6.0,4.0,0.0,
dynamic_network_atlas,strong,watts_strogatz_small_world,random_graph,10,3,4,3,5,16,8,180,240,1920,240,3185049600.0,20.0,0.4444444444444444,4.0,6.0,3.0,1.0,
dynamic_network_atlas,strong,watts_strogatz_small_world,random_graph,10,4,4,3,5,16,8,180,240,1920,240,3185049600.0,20.0,0.4444444444444444,4.0,5.0,3.0,1.0,
dynamic_network_atlas,strong,watts_strogatz_small_world,random_graph,10,5,4,3,5,16,8,180,240,1920,240,3185049600.0,20.0,0.4444444444444444,4.0,5.0,3.0,1.0,
