record_id,family,n_sites,instance_id,target_style,trap_site,disorder_strength_over_coupling,disorder_seed,best_arrival,classical_arrival,quantum_minus_classical,qc_case_label
chain_N12_r0_s9312_target-far_W0.600_seed17,chain,12,chain_N12_r0_s9312,far,0,0.6,17,0.3497342399370551,0.0012447409772554292,0.3484894989597997,quantum_higher
chain_N12_r0_s9312_target-far_W0.900_seed3,chain,12,chain_N12_r0_s9312,far,0,0.9,3,0.1316633417015214,0.0012447409772554292,0.13041860072426598,quantum_higher
chain_N12_r0_s9312_target-far_W0.900_seed5,chain,12,chain_N12_r0_s9312,far,0,0.9,5,0.40773254374286866,0.0012447409772554292,0.40648780276561325,quantum_higher
chain_N12_r0_s9312_target-far_W0.900_seed7,chain,12,chain_N12_r0_s9312,far,0,0.9,7,0.22568615156395086,0.0012447409772554292,0.22444141058669542,quantum_higher
chain_N12_r0_s9312_target-far_W0.900_seed11,chain,12,chain_N12_r0_s9312,far,0,0.9,11,0.27334064617389675,0.0012447409772554292,0.27209590519664134,quantum_higher
chain_N12_r0_s9312_target-far_W0.900_seed13,chain,12,chain_N12_r0_s9312,far,0,0.9,13,0.3781061720286123,0.0012447409772554292,0.3768614310513569,quantum_higher
chain_N12_r0_s9312_target-far_W0.900_seed17,chain,12,chain_N12_r0_s9312,far,0,0.9,17,0.3216772484915341,0.0012447409772554292,0.3204325075142787,quantum_higher
chain_N12_r0_s9312_target-far_W1.200_seed3,chain,12,chain_N12_r0_s9312,far,0,1.2,3,0.2100930948568721,0.0012447409772554292,0.20884835387961667,quantum_higher
chain_N12_r0_s9312_target-far_W1.200_seed5,chain,12,chain_N12_r0_s9312,far,0,1.2,5,0.09024217347292286,0.0012447409772554292,0.08899743249566744,quantum_higher
chain_N12_r0_s9312_target-far_W1.200_seed7,chain,12,chain_N12_r0_s9312,far,0,1.2,7,0.10999318949780373,0.0012447409772554292,0.10874844852054831,quantum_higher
chain_N12_r0_s9312_target-far_W1.200_seed11,chain,12,chain_N12_r0_s9312,far,0,1.2,11,0.3070826920049048,0.0012447409772554292,0.3058379510276494,quantum_higher
chain_N12_r0_s9312_target-far_W1.200_seed13,chain,12,chain_N12_r0_s9312,far,0,1.2,13,0.24523449521677404,0.0012447409772554292,0.2439897542395186,quantum_higher
chain_N12_r0_s9312_target-far_W1.200_seed17,chain,12,chain_N12_r0_s9312,far,0,1.2,17,0.05203474149875134,0.0012447409772554292,0.05079000052149591,quantum_higher
ring_N8_r0_s9308_target-near_W0.000_seed3,ring,8,ring_N8_r0_s9308,near,0,0.0,3,0.4767160525483486,0.4842096382115855,-0.007493585663236935,classical_explains
ring_N8_r0_s9308_target-near_W0.000_seed5,ring,8,ring_N8_r0_s9308,near,0,0.0,5,0.4767160525483486,0.4842096382115855,-0.007493585663236935,classical_explains
ring_N8_r0_s9308_target-near_W0.000_seed7,ring,8,ring_N8_r0_s9308,near,0,0.0,7,0.4767160525483486,0.4842096382115855,-0.007493585663236935,classical_explains
ring_N8_r0_s9308_target-near_W0.000_seed11,ring,8,ring_N8_r0_s9308,near,0,0.0,11,0.4767160525483486,0.4842096382115855,-0.007493585663236935,classical_explains
ring_N8_r0_s9308_target-near_W0.000_seed13,ring,8,ring_N8_r0_s9308,near,0,0.0,13,0.4767160525483486,0.4842096382115855,-0.007493585663236935,classical_explains
ring_N8_r0_s9308_target-near_W0.000_seed17,ring,8,ring_N8_r0_s9308,near,0,0.0,17,0.4767160525483486,0.4842096382115855,-0.007493585663236935,classical_explains
ring_N8_r0_s9308_target-near_W0.600_seed3,ring,8,ring_N8_r0_s9308,near,0,0.6,3,0.4687725518875279,0.4842096382115855,-0.015437086324057603,classical_explains
ring_N8_r0_s9308_target-near_W0.600_seed5,ring,8,ring_N8_r0_s9308,near,0,0.6,5,0.47485154193507256,0.4842096382115855,-0.009358096276512962,classical_explains
ring_N8_r0_s9308_target-near_W0.600_seed7,ring,8,ring_N8_r0_s9308,near,0,0.6,7,0.47597397685309123,0.4842096382115855,-0.008235661358494295,classical_explains
ring_N8_r0_s9308_target-near_W0.600_seed11,ring,8,ring_N8_r0_s9308,near,0,0.6,11,0.475361687932146,0.4842096382115855,-0.00884795027943952,classical_explains
ring_N8_r0_s9308_target-near_W0.600_seed13,ring,8,ring_N8_r0_s9308,near,0,0.6,13,0.4762525952196091,0.4842096382115855,-0.007957042991976415,classical_explains
ring_N8_r0_s9308_target-near_W0.600_seed17,ring,8,ring_N8_r0_s9308,near,0,0.6,17,0.47375725177122846,0.4842096382115855,-0.010452386440357064,classical_explains
ring_N8_r0_s9308_target-near_W0.900_seed3,ring,8,ring_N8_r0_s9308,near,0,0.9,3,0.4776274108229651,0.4842096382115855,-0.00658222738862041,classical_explains
ring_N8_r0_s9308_target-near_W0.900_seed5,ring,8,ring_N8_r0_s9308,near,0,0.9,5,0.47732618018034106,0.4842096382115855,-0.00688345803124446,classical_explains
ring_N8_r0_s9308_target-near_W0.900_seed7,ring,8,ring_N8_r0_s9308,near,0,0.9,7,0.47183275085231874,0.4842096382115855,-0.012376887359266786,classical_explains
ring_N8_r0_s9308_target-near_W0.900_seed11,ring,8,ring_N8_r0_s9308,near,0,0.9,11,0.4635409830581539,0.4842096382115855,-0.020668655153431637,classical_explains
ring_N8_r0_s9308_target-near_W0.900_seed13,ring,8,ring_N8_r0_s9308,near,0,0.9,13,0.6333451478410779,0.4842096382115855,0.14913550962949235,quantum_higher
ring_N8_r0_s9308_target-near_W0.900_seed17,ring,8,ring_N8_r0_s9308,near,0,0.9,17,0.4751710834019711,0.4842096382115855,-0.009038554809614407,classical_explains
ring_N8_r0_s9308_target-near_W1.200_seed3,ring,8,ring_N8_r0_s9308,near,0,1.2,3,0.4497052089293146,0.4842096382115855,-0.03450442928227093,classical_explains
ring_N8_r0_s9308_target-near_W1.200_seed5,ring,8,ring_N8_r0_s9308,near,0,1.2,5,0.5414950343301305,0.4842096382115855,0.05728539611854494,quantum_higher
ring_N8_r0_s9308_target-near_W1.200_seed7,ring,8,ring_N8_r0_s9308,near,0,1.2,7,0.4609498792081146,0.4842096382115855,-0.023259759003470937,classical_explains
ring_N8_r0_s9308_target-near_W1.200_seed11,ring,8,ring_N8_r0_s9308,near,0,1.2,11,0.4662254328069734,0.4842096382115855,-0.017984205404612097,classical_explains
ring_N8_r0_s9308_target-near_W1.200_seed13,ring,8,ring_N8_r0_s9308,near,0,1.2,13,0.4848678513316033,0.4842096382115855,0.0006582131200177921,classical_explains
ring_N8_r0_s9308_target-near_W1.200_seed17,ring,8,ring_N8_r0_s9308,near,0,1.2,17,0.46048927314051913,0.4842096382115855,-0.023720365071066396,classical_explains
ring_N8_r0_s9308_target-far_W0.000_seed3,ring,8,ring_N8_r0_s9308,far,3,0.0,3,0.7110292383192761,0.23514051899867913,0.47588871932059695,quantum_higher
ring_N8_r0_s9308_target-far_W0.000_seed5,ring,8,ring_N8_r0_s9308,far,3,0.0,5,0.7110292383192761,0.23514051899867913,0.47588871932059695,quantum_higher
ring_N8_r0_s9308_target-far_W0.000_seed7,ring,8,ring_N8_r0_s9308,far,3,0.0,7,0.7110292383192761,0.23514051899867913,0.47588871932059695,quantum_higher
ring_N8_r0_s9308_target-far_W0.000_seed11,ring,8,ring_N8_r0_s9308,far,3,0.0,11,0.7110292383192761,0.23514051899867913,0.47588871932059695,quantum_higher
ring_N8_r0_s9308_target-far_W0.000_seed13,ring,8,ring_N8_r0_s9308,far,3,0.0,13,0.7110292383192761,0.23514051899867913,0.47588871932059695,quantum_higher
ring_N8_r0_s9308_target-far_W0.000_seed17,ring,8,ring_N8_r0_s9308,far,3,0.0,17,0.7110292383192761,0.23514051899867913,0.47588871932059695,quantum_higher
ring_N8_r0_s9308_target-far_W0.600_seed3,ring,8,ring_N8_r0_s9308,far,3,0.6,3,0.5827168346495492,0.23514051899867913,0.34757631565087,quantum_higher
ring_N8_r0_s9308_target-far_W0.600_seed5,ring,8,ring_N8_r0_s9308,far,3,0.6,5,0.5900239729683964,0.23514051899867913,0.3548834539697172,quantum_higher
